"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-30",,"0.66",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-31",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-01",,"0.64",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-02",,"0.12",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-03",,"1.12",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-04",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-05",,"0.00","0.0",,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-06",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-07",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-08",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-09",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-10",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-11",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-12",,"0.06",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-13",,"1.04",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-14",,"1.02",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-15",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-16",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-17",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-18",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-19",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-20",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-21",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-22",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-23",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-24",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-25",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-26",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-27",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-28",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-29",,"0.33",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-06-30",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-07-01",,"0.00",,,,,,,,,,,,,,
